Date,OPEN,CLOSE,HIGH,LOW,MAx3,MAx2,MAx1,Ret,LN
02/02/2012,1320.25,1322.75,1326.00,1317.00,1299.45,1272.87,1245.84,1.00189,0.00189179
02/03/2012,1322.75,1339.50,1342.00,1320.00,1303.09,1275.48,1246.77,1.01266,0.012583507
02/06/2012,1336.50,1339.00,1340.50,1330.25,1306.36,1277.97,1247.69,0.99963,-0.000373343
02/07/2012,1339.00,1344.75,1345.75,1331.75,1309.85,1280.59,1248.66,1.00429,0.004285055
02/08/2012,1344.25,1347.25,1348.25,1338.25,1313.25,1283.20,1249.64,1.00186,0.001857356
02/09/2012,1347.00,1348.25,1352.75,1340.75,1316.43,1285.76,1250.62,1.00074,0.000741977
02/10/2012,1348.00,1340.25,1348.25,1333.75,1318.59,1287.89,1251.51,0.99407,-0.005951292
02/13/2012,1347.25,1349.50,1352.25,1342.75,1321.40,1290.31,1252.49,1.0069,0.00687799
02/14/2012,1349.25,1347.75,1352.00,1337.75,1323.80,1292.56,1253.43,0.9987,-0.001297618
02/15/2012,1347.50,1342.25,1358.00,1338.00,1325.48,1294.51,1254.32,0.99592,-0.004089225
02/16/2012,1341.75,1354.75,1357.25,1334.25,1328.14,1296.87,1255.32,1.00931,0.009269625
02/17/2012,1354.75,1360.25,1361.25,1353.00,1331.06,1299.36,1256.36,1.00406,0.004051571
02/20/2012,1366.75,1366.50,1369.50,1362.25,1334.28,1301.99,1257.46,1.00459,0.00458422
02/21/2012,1366.00,1360.25,1367.75,1355.75,1336.64,1304.28,1258.48,0.99543,-0.00458422
02/22/2012,1359.75,1356.00,1364.00,1353.00,1338.40,1306.30,1259.45,0.99688,-0.003129317
02/23/2012,1356.00,1363.25,1363.75,1350.25,1340.66,1308.54,1260.48,1.00535,0.005332365
02/24/2012,1363.00,1362.75,1368.50,1361.50,1342.67,1310.66,1261.50,0.99963,-0.000366838
02/27/2012,1363.25,1367.50,1370.75,1353.00,1344.93,1312.89,1262.56,1.00349,0.003479538
02/28/2012,1367.25,1371.50,1373.75,1364.50,1347.34,1315.19,1263.64,1.00293,0.002920776
02/29/2012,1371.25,1362.50,1377.25,1356.75,1348.72,1317.05,1264.62,0.99344,-0.006583784
03/01/2012,1362.25,1374.50,1375.25,1358.75,1351.06,1319.30,1265.72,1.00881,0.008768781
03/02/2012,1374.50,1368.50,1377.00,1365.00,1352.65,1321.23,1266.74,0.99563,-0.004374779
03/05/2012,1367.25,1364.25,1369.50,1358.00,1353.70,1322.92,1267.71,0.99689,-0.003110422
